utc_timestamp,DE_wind_generation_actual,DE_wind_capacity,DE_wind_offshore_capacity,DE_wind_onshore_capacity,DE_wind_profile,DE_wind_offshore_profile,DE_wind_onshore_profile
2015-01-05T15:00:00Z,5077.0,27939.0,670.0,27268.0,0.1817,0.2922,0.179
2015-01-05T16:00:00Z,4507.0,27939.0,670.0,27268.0,0.1613,0.2308,0.1596
2015-01-05T17:00:00Z,4236.0,27939.0,670.0,27268.0,0.1516,0.2343,0.1496
2015-01-05T18:00:00Z,3924.0,27939.0,670.0,27268.0,0.1404,0.3238,0.1359
2015-01-05T19:00:00Z,3186.0,27939.0,670.0,27268.0,0.114,0.2563,0.1105
2015-01-05T20:00:00Z,2637.0,27939.0,670.0,27268.0,0.0943,0.2344,0.091
2015-01-05T21:00:00Z,2108.0,27939.0,670.0,27268.0,0.0754,0.2591,0.0709
2015-01-05T22:00:00Z,1810.0,27939.0,670.0,27268.0,0.0648,0.286,0.0593
2015-01-05T23:00:00Z,1491.0,27950.0,675.0,27275.0,0.0534,0.2662,0.0481
2015-01-06T00:00:00Z,1171.0,27950.0,675.0,27275.0,0.0419,0.2372,0.0371
2015-01-06T01:00:00Z,907.0,27950.0,675.0,27275.0,0.0324,0.2136,0.028
2015-01-06T02:00:00Z,840.0,27950.0,675.0,27275.0,0.03,0.2022,0.0258
2015-01-06T03:00:00Z,916.0,27950.0,675.0,27275.0,0.0328,0.2247,0.028
2015-01-06T04:00:00Z,1102.0,27950.0,675.0,27275.0,0.0394,0.2582,0.034
2015-01-06T05:00:00Z,1433.0,27950.0,675.0,27275.0,0.0513,0.2952,0.0452
2015-01-06T06:00:00Z,1793.0,27950.0,675.0,27275.0,0.0642,0.345,0.0572
2015-01-06T07:00:00Z,2181.0,27950.0,675.0,27275.0,0.0781,0.349,0.0714
2015-01-06T08:00:00Z,2622.0,27950.0,675.0,27275.0,0.0938,0.3428,0.0876
2015-01-06T09:00:00Z,3065.0,27950.0,675.0,27275.0,0.1097,0.386,0.1028
2015-01-06T10:00:00Z,3437.0,27950.0,675.0,27275.0,0.123,0.4258,0.1155
2015-01-06T11:00:00Z,3409.0,27950.0,675.0,27275.0,0.122,0.431,0.1143
2015-01-06T12:00:00Z,3773.0,27950.0,675.0,27275.0,0.135,0.4173,0.128
2015-01-06T13:00:00Z,4349.0,27950.0,675.0,27275.0,0.1556,0.4296,0.1488
2015-01-06T14:00:00Z,5189.0,27950.0,675.0,27275.0,0.1857,0.479,0.1784
2015-01-06T15:00:00Z,6674.0,27950.0,675.0,27275.0,0.2388,0.5516,0.231
2015-01-06T16:00:00Z,8121.0,27950.0,675.0,27275.0,0.2905,0.5969,0.283
2015-01-06T17:00:00Z,9376.0,27950.0,675.0,27275.0,0.3355,0.5826,0.3293
2015-01-06T18:00:00Z,9575.0,27950.0,675.0,27275.0,0.3426,0.5742,0.3368
2015-01-06T19:00:00Z,9714.0,27950.0,675.0,27275.0,0.3476,0.6276,0.3406
2015-01-06T20:00:00Z,9263.0,27950.0,675.0,27275.0,0.3314,0.5971,0.3249
2015-01-06T21:00:00Z,9666.0,27950.0,675.0,27275.0,0.3458,0.6672,0.3379
2015-01-06T22:00:00Z,9524.0,27950.0,675.0,27275.0,0.3408,0.7032,0.3318
2015-01-06T23:00:00Z,9127.0,27957.0,675.0,27281.0,0.3264,0.7157,0.3168
2015-01-07T00:00:00Z,8514.0,27957.0,675.0,27281.0,0.3046,0.6841,0.2952
2015-01-07T01:00:00Z,8188.0,27957.0,675.0,27281.0,0.2929,0.5796,0.2858
2015-01-07T02:00:00Z,8711.0,27957.0,675.0,27281.0,0.3116,0.5763,0.305
2015-01-07T03:00:00Z,8753.0,27957.0,675.0,27281.0,0.3131,0.5759,0.3066
2015-01-07T04:00:00Z,8452.0,27957.0,675.0,27281.0,0.3023,0.4861,0.2978
2015-01-07T05:00:00Z,8458.0,27957.0,675.0,27281.0,0.3026,0.4056,0.3
2015-01-07T06:00:00Z,8066.0,27957.0,675.0,27281.0,0.2885,0.3756,0.2864
2015-01-07T07:00:00Z,7725.0,27957.0,675.0,27281.0,0.2763,0.423,0.2727
2015-01-07T08:00:00Z,7299.0,27957.0,675.0,27281.0,0.2611,0.5184,0.2547
2015-01-07T09:00:00Z,7114.0,27957.0,675.0,27281.0,0.2545,0.5852,0.2463
2015-01-07T10:00:00Z,7229.0,27957.0,675.0,27281.0,0.2586,0.7072,0.2475
2015-01-07T11:00:00Z,7460.0,27957.0,675.0,27281.0,0.2668,0.7457,0.255
2015-01-07T12:00:00Z,7775.0,27957.0,675.0,27281.0,0.2781,0.7225,0.2672
2015-01-07T13:00:00Z,7330.0,27957.0,675.0,27281.0,0.2622,0.7339,0.2505
2015-01-07T14:00:00Z,7095.0,27957.0,675.0,27281.0,0.2538,0.7534,0.2414
2015-01-07T15:00:00Z,7546.0,27957.0,675.0,27281.0,0.27,0.7666,0.2576
2015-01-07T16:00:00Z,8698.0,27957.0,675.0,27281.0,0.3111,0.7769,0.2996
2015-01-07T17:00:00Z,10209.0,27957.0,675.0,27281.0,0.3652,0.7623,0.3554
2015-01-07T18:00:00Z,11382.0,27957.0,675.0,27281.0,0.4071,0.7779,0.398
2015-01-07T19:00:00Z,12803.0,27957.0,675.0,27281.0,0.4579,0.7923,0.4497
2015-01-07T20:00:00Z,14009.0,27957.0,675.0,27281.0,0.5011,0.7929,0.4939
2015-01-07T21:00:00Z,14561.0,27957.0,675.0,27281.0,0.5208,0.7925,0.5142
2015-01-07T22:00:00Z,14790.0,27957.0,675.0,27281.0,0.529,0.7931,0.5226
2015-01-07T23:00:00Z,15037.0,27966.0,675.0,27291.0,0.5377,0.7926,0.5314
2015-01-08T00:00:00Z,15807.0,27966.0,675.0,27291.0,0.5652,0.7912,0.5596
2015-01-08T01:00:00Z,16449.0,27966.0,675.0,27291.0,0.5882,0.7902,0.5832
2015-01-08T02:00:00Z,16695.0,27966.0,675.0,27291.0,0.597,0.7868,0.5922
2015-01-08T03:00:00Z,16787.0,27966.0,675.0,27291.0,0.6002,0.7834,0.5958
2015-01-08T04:00:00Z,16751.0,27966.0,675.0,27291.0,0.599,0.7884,0.5943
2015-01-08T05:00:00Z,17496.0,27966.0,675.0,27291.0,0.6256,0.7903,0.6215
2015-01-08T06:00:00Z,18076.0,27966.0,675.0,27291.0,0.6464,0.7906,0.6428
2015-01-08T07:00:00Z,18039.0,27966.0,675.0,27291.0,0.645,0.7941,0.6413
2015-01-08T08:00:00Z,18177.0,27966.0,675.0,27291.0,0.65,0.7811,0.6467
2015-01-08T09:00:00Z,18094.0,27966.0,675.0,27291.0,0.647,0.7833,0.6437
2015-01-08T10:00:00Z,17924.0,27966.0,675.0,27291.0,0.6409,0.7769,0.6376
2015-01-08T11:00:00Z,17249.0,27966.0,675.0,27291.0,0.6168,0.7026,0.6147
2015-01-08T12:00:00Z,16601.0,27966.0,675.0,27291.0,0.5936,0.6682,0.5918
2015-01-08T13:00:00Z,16519.0,27966.0,675.0,27291.0,0.5907,0.641,0.5894
2015-01-08T14:00:00Z,15881.0,27966.0,675.0,27291.0,0.5679,0.6294,0.5663
2015-01-08T15:00:00Z,16707.0,27966.0,675.0,27291.0,0.5974,0.7143,0.5945
2015-01-08T16:00:00Z,16975.0,27966.0,675.0,27291.0,0.607,0.781,0.6027
2015-01-08T17:00:00Z,18201.0,27966.0,675.0,27291.0,0.6508,0.7816,0.6476
2015-01-08T18:00:00Z,19836.0,27966.0,675.0,27291.0,0.7093,0.7788,0.7076
2015-01-08T19:00:00Z,21336.0,27966.0,675.0,27291.0,0.7629,0.7814,0.7624
2015-01-08T20:00:00Z,22571.0,27966.0,675.0,27291.0,0.8071,0.7842,0.8076
2015-01-08T21:00:00Z,22747.0,27966.0,675.0,27291.0,0.8134,0.7839,0.8141
2015-01-08T22:00:00Z,22911.0,27966.0,675.0,27291.0,0.8192,0.7799,0.8202
2015-01-08T23:00:00Z,22489.0,27972.0,675.0,27296.0,0.804,0.7713,0.8048
2015-01-09T00:00:00Z,22208.0,27972.0,675.0,27296.0,0.7939,0.783,0.7942
2015-01-09T01:00:00Z,22583.0,27972.0,675.0,27296.0,0.8074,0.7892,0.8078
2015-01-09T02:00:00Z,23691.0,27972.0,675.0,27296.0,0.847,0.7891,0.8484
2015-01-09T03:00:00Z,25057.0,27972.0,675.0,27296.0,0.8958,0.7772,0.8988
2015-01-09T04:00:00Z,26415.0,27972.0,675.0,27296.0,0.9443,0.5976,0.953
2015-01-09T05:00:00Z,27400.0,27972.0,675.0,27296.0,0.9796,0.3763,0.9945
2015-01-09T06:00:00Z,28102.0,27972.0,675.0,27296.0,1.0046,0.2835,1.0225
2015-01-09T07:00:00Z,28930.0,27972.0,675.0,27296.0,1.0343,0.2584,1.0535
2015-01-09T08:00:00Z,29704.0,27972.0,675.0,27296.0,1.0619,0.2349,1.0824
2015-01-09T09:00:00Z,29755.0,27972.0,675.0,27296.0,1.0637,0.2789,1.0832
2015-01-09T10:00:00Z,29097.0,27972.0,675.0,27296.0,1.0402,0.2058,1.0609
2015-01-09T11:00:00Z,29389.0,27972.0,675.0,27296.0,1.0506,0.2841,1.0696
2015-01-09T12:00:00Z,29671.0,27972.0,675.0,27296.0,1.0608,0.332,1.0788
2015-01-09T13:00:00Z,29948.0,27972.0,675.0,27296.0,1.0706,0.3687,1.088
2015-01-09T14:00:00Z,30155.0,27972.0,675.0,27296.0,1.078,0.6667,1.0883
2015-01-09T15:00:00Z,30151.0,27972.0,675.0,27296.0,1.0779,0.7265,1.0867
2015-01-09T16:00:00Z,29928.0,27972.0,675.0,27296.0,1.0699,0.7477,1.0779
2015-01-09T17:00:00Z,28857.0,27972.0,675.0,27296.0,1.0316,0.7415,1.0388
2015-01-09T18:00:00Z,27610.0,27972.0,675.0,27296.0,0.9871,0.748,0.993
2015-01-09T19:00:00Z,26129.0,27972.0,675.0,27296.0,0.9341,0.711,0.9397
2015-01-09T20:00:00Z,23946.0,27972.0,675.0,27296.0,0.8561,0.5745,0.8631
2015-01-09T21:00:00Z,21901.0,27972.0,675.0,27296.0,0.7829,0.4383,0.7915
2015-01-09T22:00:00Z,21036.0,27972.0,675.0,27296.0,0.752,0.5538,0.757
2015-01-09T23:00:00Z,20066.0,27972.0,675.0,27296.0,0.7173,0.6846,0.7182
2015-01-10T00:00:00Z,20244.0,27972.0,675.0,27296.0,0.7237,0.7235,0.7238
2015-01-10T01:00:00Z,20546.0,27972.0,675.0,27296.0,0.7345,0.7424,0.7343
2015-01-10T02:00:00Z,21921.0,27972.0,675.0,27296.0,0.7837,0.7381,0.7849
2015-01-10T03:00:00Z,23217.0,27972.0,675.0,27296.0,0.83,0.7193,0.8327
2015-01-10T04:00:00Z,24259.0,27972.0,675.0,27296.0,0.8672,0.7223,0.8709
2015-01-10T05:00:00Z,26163.0,27972.0,675.0,27296.0,0.9353,0.7016,0.9412
2015-01-10T06:00:00Z,27333.0,27972.0,675.0,27296.0,0.9772,0.4376,0.9906
2015-01-10T07:00:00Z,28275.0,27972.0,675.0,27296.0,1.0108,0.2991,1.0285
2015-01-10T08:00:00Z,28573.0,27972.0,675.0,27296.0,1.0215,0.2692,1.0401
2015-01-10T09:00:00Z,28972.0,27972.0,675.0,27296.0,1.0358,0.2419,1.0554
2015-01-10T10:00:00Z,29416.0,27972.0,675.0,27296.0,1.0516,0.2276,1.072
2015-01-10T11:00:00Z,29437.0,27972.0,675.0,27296.0,1.0524,0.3588,1.0696
2015-01-10T12:00:00Z,29058.0,27972.0,675.0,27296.0,1.0388,0.3163,1.0567
2015-01-10T13:00:00Z,28893.0,27972.0,675.0,27296.0,1.033,0.1888,1.0538
2015-01-10T14:00:00Z,28518.0,27972.0,675.0,27296.0,1.0195,0.2151,1.0394
2015-01-10T15:00:00Z,28528.0,27972.0,675.0,27296.0,1.0199,0.1734,1.0408
2015-01-10T16:00:00Z,28306.0,27972.0,675.0,27296.0,1.0119,0.1764,1.0327
2015-01-10T17:00:00Z,27903.0,27972.0,675.0,27296.0,0.9976,0.204,1.0172
2015-01-10T18:00:00Z,27538.0,27972.0,675.0,27296.0,0.9845,0.23,1.0032
2015-01-10T19:00:00Z,26991.0,27972.0,675.0,27296.0,0.9649,0.266,0.9822
2015-01-10T20:00:00Z,26413.0,27972.0,675.0,27296.0,0.9442,0.2694,0.961
2015-01-10T21:00:00Z,25282.0,27972.0,675.0,27296.0,0.9038,0.3259,0.9182
2015-01-10T22:00:00Z,24714.0,27972.0,675.0,27296.0,0.8835,0.405,0.8954
2015-01-10T23:00:00Z,24177.0,27972.0,675.0,27296.0,0.8643,0.4549,0.8745
2015-01-11T00:00:00Z,23990.0,27972.0,675.0,27296.0,0.8577,0.4271,0.8684
2015-01-11T01:00:00Z,23304.0,27972.0,675.0,27296.0,0.8332,0.438,0.8429
2015-01-11T02:00:00Z,23096.0,27972.0,675.0,27296.0,0.8257,0.4952,0.8338
2015-01-11T03:00:00Z,23358.0,27972.0,675.0,27296.0,0.835,0.5716,0.8416
2015-01-11T04:00:00Z,23626.0,27972.0,675.0,27296.0,0.8446,0.6053,0.8506
2015-01-11T05:00:00Z,24642.0,27972.0,675.0,27296.0,0.881,0.5651,0.8888
2015-01-11T06:00:00Z,25338.0,27972.0,675.0,27296.0,0.9058,0.6097,0.9132
2015-01-11T07:00:00Z,26313.0,27972.0,675.0,27296.0,0.9407,0.6521,0.9478
2015-01-11T08:00:00Z,26486.0,27972.0,675.0,27296.0,0.9469,0.5694,0.9563
2015-01-11T09:00:00Z,27234.0,27972.0,675.0,27296.0,0.9736,0.5768,0.9835
2015-01-11T10:00:00Z,27728.0,27972.0,675.0,27296.0,0.9913,0.6235,1.0004
2015-01-11T11:00:00Z,28164.0,27972.0,675.0,27296.0,1.0069,0.4492,1.0207
2015-01-11T12:00:00Z,28334.0,27972.0,675.0,27296.0,1.0129,0.4953,1.0258
2015-01-11T13:00:00Z,28516.0,27972.0,675.0,27296.0,1.0195,0.455,1.0334
2015-01-11T14:00:00Z,28205.0,27972.0,675.0,27296.0,1.0084,0.5497,1.0197
2015-01-11T15:00:00Z,27910.0,27972.0,675.0,27296.0,0.9978,0.6299,1.0069
2015-01-11T16:00:00Z,28319.0,27972.0,675.0,27296.0,1.0124,0.6769,1.0207
2015-01-11T17:00:00Z,28254.0,27972.0,675.0,27296.0,1.0101,0.7098,1.0176
